Main category,Sub1,Sub2,Sub3,Sub4,Sub5
Мэдээлэл,Терминал,ПОС,EPOS авах талаар,,
Мэдээлэл,Терминал,ПОС,Ашиглах заавар,,
Мэдээлэл,Терминал,ПОС,Орлого орох хугацаа,,
Мэдээлэл,Терминал,ПОС,Цаас захиалга,,
Мэдээлэл,Терминал,ПОС,Шимтгэл хураамж ерөнхий нөхцөл,,
Мэдээлэл,Терминал,ПОС,Шинэ ПОС авах,,
Мэдээлэл,Терминал,АТМ,Ажиллахгүй тухай,,
Мэдээлэл,Терминал,АТМ,Ашиглах заавар,Орлого хийх,Өөрийн дансанд
Мэдээлэл,Терминал,АТМ,Ашиглах заавар,Орлого хийх,Бусдын дансанд
Мэдээлэл,Терминал,АТМ,Ашиглах заавар,Зарлага хийх,
Мэдээлэл,Терминал,АТМ,Ашиглах заавар,Шилжүүлэг хийх,
Мэдээлэл,Терминал,АТМ,Ашиглах заавар,Төлбөр төлөх,
Мэдээлэл,Терминал,АТМ,Залгиулсан карт,АТМОНИБ,
Мэдээлэл,Терминал,АТМ,Залгиулсан карт,АТМУБИБ,Карт хураагдсан эсэхийг шалгасан
Мэдээлэл,Терминал,АТМ,Залгиулсан карт,АТМУБИБ,Карт хураалгах хүсэлт өгөх
Мэдээлэл,Терминал,АТМ,Залгиулсан карт,АТМУБИБ,Картын төвд хураагдаж ирсэн
Мэдээлэл,Терминал,АТМ,Залгиулсан карт,АТМУБИБ,Тооцооны төвд шилжүүлэх хүсэлт илгээсэн
Мэдээлэл,Терминал,АТМ,Залгиулсан карт,Бусад банкны АТМ,
Мэдээлэл,Терминал,АТМ,Залгиулсан карт,Тооцооны төвийн дэргэдэх АТМ,
Мэдээлэл,Терминал,АТМ,Залгиулсан карт,Яаралтай карт авах хүсэлт,
Мэдээлэл,Терминал,АТМ,Камерын бичлэг,,
Мэдээлэл,Терминал,АТМ,Хаяг байршил,БГД,
Мэдээлэл,Терминал,АТМ,Хаяг байршил,БЗД,
Мэдээлэл,Терминал,АТМ,Хаяг байршил,СХД,
Мэдээлэл,Терминал,АТМ,Хаяг байршил,СХД,
Мэдээлэл,Терминал,АТМ,Хаяг байршил,ХУД,
Мэдээлэл,Терминал,АТМ,Хаяг байршил,ЧГД,
Мэдээлэл,Терминал,АТМ,Хаяг байршил,Хөдөлгөөнт АТМ,
Мэдээлэл,Терминал,АТМ,Хаяг байршил,Орон нутаг,
Мэдээлэл,Терминал,АТМ,Цагийн хуваарь,БГД,
Мэдээлэл,Терминал,АТМ,Цагийн хуваарь,БЗД,
Мэдээлэл,Терминал,АТМ,Цагийн хуваарь,СХД,
Мэдээлэл,Терминал,АТМ,Цагийн хуваарь,СХД,
Мэдээлэл,Терминал,АТМ,Цагийн хуваарь,ХУД,
Мэдээлэл,Терминал,АТМ,Цагийн хуваарь,ЧГД,
Мэдээлэл,Терминал,АТМ,Цагийн хуваарь,Хөдөлгөөнт АТМ,
Мэдээлэл,Терминал,АТМ,Цагийн хуваарь,Орон нутаг,
Мэдээлэл,Терминал,АТМ,Шинэ АТМ суурилуулах,,
Мэдээлэл,Төлбөр тооцоо,Банк хоорондын гүйлгээ,Бага дүнтэй гүйлгээ 3 сая хүртэл дүнтэй,,
Мэдээлэл,Төлбөр тооцоо,Банк хоорондын гүйлгээ,Их дүнтэй гүйлгээ  3 саяс дээш дүнтэй,,
Мэдээлэл,Төлбөр тооцоо,Банк хоорондын гүйлгээ,Шимтгэл хураамж ерөнхий нөхцөл,,
Мэдээлэл,Төлбөр тооцоо,Банк хоорондын гүйлгээ,Гүйлгээ хийгдэх цагийн хязгаар,,
Мэдээлэл,Төлбөр тооцоо,Банк хоорондын гүйлгээ,Хөрвүүлгийн гүйлгээний мэдээлэл,,
Мэдээлэл,Төлбөр тооцоо,Валютын зузаатгал,,,
Мэдээлэл,Төлбөр тооцоо,Гадаад төлбөр тооцоо,Western Union,Ерөнхий мэдээлэл,
Мэдээлэл,Төлбөр тооцоо,Гадаад төлбөр тооцоо,Western Union,Шимтгэл хураамж ерөнхий нөхцөл,
Мэдээлэл,Төлбөр тооцоо,Гадаад төлбөр тооцоо,Western Union,Залруулга,
Мэдээлэл,Төлбөр тооцоо,Гадаад төлбөр тооцоо,Swift,Гадагшаа гуйвуулга шилжүүлэх,
Мэдээлэл,Төлбөр тооцоо,Гадаад төлбөр тооцоо,Swift,Гаднаас гуйвуулга хүлээж авах,
Мэдээлэл,Төлбөр тооцоо,Гадаад төлбөр тооцоо,Swift,Гадаад гуйвуулга буцаан дуудах,
Мэдээлэл,Төлбөр тооцоо,Гадаад төлбөр тооцоо,Swift,ХААН Банкны SWIFT code,
Мэдээлэл,Төлбөр тооцоо,Гадаад төлбөр тооцоо,Swift,Харилцагч банкуудын мэдээлэл,
Мэдээлэл,Төлбөр тооцоо,Гадаад төлбөр тооцоо,Swift,Шимтгэл хураамж ерөнхий нөхцөл,
Мэдээлэл,Төлбөр тооцоо,Гадаад төлбөр тооцоо,Swift,Swift tracker системийн тухай ерөнхий мэдээлэл,
Мэдээлэл,Төлбөр тооцоо,Ханшийн мэдээлэл,,,
Мэдээлэл,Төлбөр тооцоо,Хэлцэл хийх,Ерөнхий мэдээлэл,,
Мэдээлэл,Төлбөр тооцоо,Хэлцэл хийх,Хэлцлийн ажилтантай холбосон,,
Мэдээлэл,Халамж,НАӨТ буцаалт,Санхүүжилт орох хугацаа,,
Мэдээлэл,Халамж,НАӨТ буцаалт,Дансаа хэрхэн бүртгүүлэх,,
Мэдээлэл,Халамж,Одонгийн мөнгө,ХУД,,
Мэдээлэл,Халамж,Одонгийн мөнгө,БЗД,,
Мэдээлэл,Халамж,Одонгийн мөнгө,СБД,,
Мэдээлэл,Халамж,Одонгийн мөнгө,Орон нутаг,,
Мэдээлэл,Халамж,Оюутны тэтгэмж,Санхүүжилт орох хугацаа,,
Мэдээлэл,Халамж,Оюутны тэтгэмж,Дансаа хэрхэн бүртгүүлэх,,
Мэдээлэл,Халамж,Тэтгэвэр тэтгэмж,Улаанбаатар,,
Мэдээлэл,Халамж,Тэтгэвэр тэтгэмж,Орон нутаг,,
Мэдээлэл,Халамж,Тэтгэвэр тэтгэмж,Тэтгэврийн нэмэгдэл,,
Мэдээлэл,Халамж,Тэтгэвэр тэтгэмж,Тэтгэвэр олгох хугацаа,,
Мэдээлэл,Халамж,Тэтгэвэр тэтгэмж,Нас барсан хүний тэтгэврийн тухай,,
Мэдээлэл,Халамж,Халамжийн санхүүжилт,ХУД,,
Мэдээлэл,Халамж,Халамжийн санхүүжилт,БЗД,,
Мэдээлэл,Халамж,Халамжийн санхүүжилт,СБД,,
Мэдээлэл,Халамж,Халамжийн санхүүжилт,Орон нутаг,,
Мэдээлэл,Халамж,Халамжийн санхүүжилт,Халамж олгохгүй байгаа тухай,,
Мэдээлэл,Халамж,ХАОАТн буцаалт,Санхүүжилт орох хугацаа,,
Мэдээлэл,Халамж,ХАОАТн буцаалт,Дансаа хэрхэн бүртгүүлэх,,
Мэдээлэл,Халамж,Хүүхдийн мөнгө,Санхүүжилт орох хугацаа,,
